Bayraktar,401,738396,0.36
Messing,812,83374,0.08
Gils,602,818151,0.49
Salice,224,76042,0.86
Oshisanwo,337,734866,0.16
Lovell,939,995266,0.33
Kirkerud,573,920447,0.01
Gurzi,682,197870,0.39
Krablin,812,969666,0.19
Molzberger,505,788226,0.38
Wyckoff,401,111460,0.65
Kakuda,216,602455,0.99
Yeom,580,704786,0.35
Pollacia,304,771557,0.62
Cochran,939,740568,0.82
Priebe,208,854919,0.19
Thisen,252,684770,0.22
Byron,702,763339,0.11
Coupe,918,890980,0.49
Rapicault,405,1000424,0.44
Gopi,308,152862,0.51
Brookman,541,854798,0.46
Murli,906,797285,0.39
Salvesen,412,24346,0.05
Coates,860,632610,0.92
Streng,480,885713,0.83
Purvy,615,435967,0.93
Grunberger,907,309361,0.86
Ingemarson,804,556753,0.11
Raper,352,101311,0.48
Kossowski,715,947187,0.47
Radecki,785,748555,0.75
Brinkschulte,407,840451,0.30
Colnaric,864,188550,0.97
Mastrobuoni,954,799318,0.42
Kirkwood,401,180853,0.78
Nierstrasz,509,972882,0.14
Matheson,812,5882,0.23
Minshall,641,281272,0.45
Vorch,614,474454,0.50
Formella,802,25688,0.14
Wika,224,183894,0.76
Maxemchuk,312,645453,0.95
Holand,302,551524,0.09
Thomson,641,533023,0.53
Lageweg,775,135485,0.19
Massonet,603,617724,0.90
Normark,603,540371,0.97
Reese,769,208134,0.38
Daul,501,653583,0.32
Wendel,870,530833,0.10
Cin,307,375708,0.70
Durst,307,684412,0.38
McClure,937,179558,0.20
Hoang,913,33561,0.99
Feldmann,580,31882,0.37
Luce,208,456572,0.17
Hobby,603,1000119,0.78
Guski,302,110962,0.94
Wadey,401,706784,0.36
Vinay,775,138524,0.09
Sigal,201,399501,0.70
Inza,308,394909,0.67
Naudin,225,52184,0.41
Moumoutzis,801,664755,0.09
Banachowski,985,572017,0.36
Fadgyas,434,908258,0.82
Broker,580,366837,0.16
Hylton,907,984902,0.70
Abelha,956,219781,0.77
Paterakis,908,398310,0.49
Tyszer,808,846249,0.53
Biryukow,520,553077,0.28
Friman,307,470816,0.15
ORiordan,251,457778,0.31
Tillich,616,756625,0.90
Schwabacher,202,452032,0.76
Mukouchi,603,706580,0.03
Simplot,401,79027,0.79
Hilliard,701,191076,0.36
Bandat,304,872664,0.36
Gopalakrishnan,769,693994,0.87
Jouvelot,202,228530,0.94
Handelman,864,259467,0.61
Plotkin,208,289069,0.39
Janusz,928,30223,0.82
Elustondo,952,719200,0.22
Lukanowicz,347,865803,0.90
Lorch,703,35403,0.64
Geldenhuys,808,627623,0.99
Schleiermacher,914,297960,0.08
Rehn,702,896126,0.52
Gentleman,410,416529,0.02
Oostrum,401,594127,0.32
Seyfer,234,823873,0.43
Camarinopoulos,859,420192,0.62
Paddon,410,111655,0.15
Rimmer,907,837472,0.71
Gohara,516,174606,0.33
Gras,435,681463,0.36
Gruenwald,423,471417,0.87
Mandviwalla,251,99415,0.18
Zaiane,907,441468,0.32
Biso,870,642346,0.98
Smaragdakis,208,300854,0.24
Lust,401,11986,0.75
Gilmore,480,978840,0.28
Reiprich,203,344834,0.29
Vincente,769,782215,0.15
Lukassen,616,639204,0.93
Putfarken,252,699762,0.26
Kilgore,225,910199,0.58
Lenart,701,217845,0.11
Grau,978,658513,0.56
Baak,907,271114,0.33
Chinin,630,607602,0.91
Yamagchi,308,24707,0.07
Reich,434,68829,0.69
Tomii,612,618581,0.51
Salmon,956,197792,0.31
Tomov,202,500740,0.85
Swick,979,819886,0.30
Kindlmann,419,452940,0.98
Seegmuller,603,236687,0.31
Baxter,202,808922,0.28
Christmansson,435,734305,0.98
Popa,308,819154,0.09
Gutz,212,854609,0.66
Dagtas,307,758939,0.39
Kavvadias,678,138458,0.16
Varker,970,425344,0.17
Gjerlov,406,368381,0.32
Oettinger,401,385385,0.33
Etzl,646,895349,0.88
Horndasch,551,509719,0.49
Dniestrowski,435,626038,0.31
Verhaegen,606,429902,0.16
Zincke,253,131080,0.65
Bodagala,720,976793,0.06
Kell,603,607748,0.29
Normand,208,151777,0.86
Wahls,971,366083,0.89
Latch,605,855021,0.97
Schwiegelshohn,907,902663,0.95
Aronsson,713,445240,0.59
Smotrovs,352,262960,0.36
Bly,972,812349,0.96
Sobalvarro,337,562483,0.11
Viguier,913,957859,0.74
Parter,207,773380,0.29
Xianchang,414,305109,0.12
Grahn,973,886878,0.15
Calvin,501,335330,0.33
Aybay,843,471967,0.95
Strausfeld,940,759531,0.12
Ebrahimi,251,107461,0.15
Ullman,603,790420,0.57
Campagnoni,814,134096,0.65
Wallgren,769,64333,0.23
Dusse,203,582933,0.66
Schewe,304,177332,0.68
Koepf,443,6512,0.53
Wettschereck,605,724764,0.76
Zaguia,614,451837,0.28
Pietrzak,520,497417,0.84
Pargas,862,326761,0.95
Ducloy,207,195691,0.08
Samaddar,562,145393,0.81
Mutschke,860,331337,0.77
Pietra,319,709183,0.34
Schell,727,943547,0.78
Campr,769,118026,0.73
Yurov,937,984770,0.81
Rahmeh,951,316644,0.94
Bugaenko,321,746991,0.80
Barriere,301,546290,0.71
Holtman,952,393582,0.35
Varsek,701,334010,0.36
Halici,808,195455,0.26
Kunkdelmann,787,535044,0.37
Shneerson,203,779681,0.26
Iisaka,865,943352,0.77
Bern,970,606540,0.50
Belzer,405,712657,0.30
Bridges,830,88026,0.92
Heikes,702,159991,0.90
Sekine,978,2759,0.53
Gerace,505,127142,0.21
Duong,701,577435,0.21
Jakobovits,509,115726,0.43
Nagasamy,775,493966,0.96
Radecka,406,996993,0.49
Rebaine,719,785253,0.94
Jahnichen,808,697985,0.99
Dymetman,610,782052,0.14
Cornero,202,534930,0.73
Jeffrey,719,178940,0.62
Millo,303,66728,0.56
Toyoshima,305,750275,0.70
Macnee,660,678679,0.62
Parris,971,855516,0.21
Lauterbach,513,828475,0.61
Caulk,605,309753,0.88
Rochowiak,205,209625,0.04
Ricardo,712,873214,0.95
Baum,970,547027,0.73
Ayoubi,412,192453,0.42
Takagi,863,684794,0.78
Ziskin,515,732154,0.35
Junger,207,488611,0.96
Stemmer,970,598789,0.14
Amandi,860,182753,0.32
Unalyr,631,486241,0.66
Kossowski,304,990765,0.19
Marinova,504,297469,0.28
Klassen,760,240228,0.31
Angel,479,209279,0.58
Roddick,636,431873,0.25
Kesavan,770,274589,0.25
Nassif,731,677765,0.41
Staudinger,425,81555,0.70
Uesaka,913,426176,0.91
Markosian,256,518760,0.17
Bozinovic,207,847288,0.27
Behr,405,849779,0.06
Abb,406,90903,0.66
Melton,603,659613,0.42
Hjalmtysson,808,63249,0.89
Wiegley,907,523288,0.60
Berger,434,336454,0.94
Orozco,763,107652,0.87
Prini,785,164531,0.23
Kleiser,860,177194,0.22
Coney,207,436463,0.44
Mukerji,208,818023,0.09
Trimble,206,102003,0.43
Cullingford,907,622777,0.53
Twidale,801,38243,0.53
Dahl,302,114234,0.69
Frederiksen,907,878252,0.05
Tolva,517,313112,0.50
Kalkbrener,401,104272,0.87
Seredynski,928,329585,0.67
Biro,802,503100,0.17
Berdichevsky,302,537911,0.15
Kontos,502,365887,0.06
Muniz,603,993677,0.47
Hladik,940,766429,0.09
Thomasset,208,505637,0.36
Christmansson,202,385258,0.42
Philips,931,191954,0.10
Tamches,206,155790,0.76
Klerer,208,157784,0.12
Khoury,515,564690,0.64
Osoba,307,642744,0.35
Czapiewski,757,686408,0.24
Sendrier,605,56753,0.37
Nergos,253,453142,0.90
Masand,505,838428,0.09
Haraguchi,207,132061,0.44
Preishuber,413,999455,0.65
Orsini,702,2463,0.30
Rostami,262,210570,0.29
Gewali,541,86562,0.10
Leivant,603,705792,0.27
Parnas,207,95008,0.23
Derthick,775,30898,0.42
Matsubara,435,724670,0.18
Jindal,229,169583,0.00
Bonifati,870,938890,0.09
Krackhardt,641,119580,0.20
Meekings,318,900372,0.52
Biros,307,766989,0.41
Kouzes,501,421309,0.38
Krull,307,462593,0.26
Halverson,769,129739,0.80
Falck,406,753375,0.13
Reinitzer,262,768507,0.57
